user_id,date,category,transaction_type,amount_chf,profile
U0001,2025-01-02,salary,income,7406.65,stable_saver
U0001,2025-01-02,groceries,expense,117.05,stable_saver
U0001,2025-01-02,restaurants,expense,2.38,stable_saver
U0001,2025-01-02,shopping,expense,64.04,stable_saver
U0001,2025-01-02,subscriptions,expense,0.6,stable_saver
U0001,2025-01-05,travel,expense,262.65,stable_saver
U0001,2025-01-06,restaurants,expense,38.06,stable_saver
U0001,2025-01-07,restaurants,expense,229.29,stable_saver
U0001,2025-01-08,transport,expense,176.0,stable_saver
U0001,2025-01-08,debt_payment,expense,260.38,stable_saver
U0001,2025-01-09,groceries,expense,200.59,stable_saver
U0001,2025-01-09,restaurants,expense,47.24,stable_saver
U0001,2025-01-10,transport,expense,2.84,stable_saver
U0001,2025-01-12,insurance,expense,327.71,stable_saver
U0001,2025-01-13,groceries,expense,67.82,stable_saver
U0001,2025-01-14,transport,expense,74.62,stable_saver
U0001,2025-01-14,shopping,expense,1.61,stable_saver
U0001,2025-01-15,transport,expense,225.6,stable_saver
U0001,2025-01-18,rent,expense,2460.58,stable_saver
U0001,2025-01-18,shopping,expense,25.07,stable_saver
U0001,2025-01-18,shopping,expense,85.74,stable_saver
U0001,2025-01-19,restaurants,expense,28.69,stable_saver
U0001,2025-01-19,shopping,expense,38.94,stable_saver
U0001,2025-01-19,savings_transfer,savings,1747.65,stable_saver
U0001,2025-01-20,transport,expense,13.64,stable_saver
U0001,2025-01-21,transport,expense,94.14,stable_saver
U0001,2025-01-21,shopping,expense,15.66,stable_saver
U0001,2025-01-21,subscriptions,expense,25.49,stable_saver
U0001,2025-01-22,groceries,expense,81.96,stable_saver
U0001,2025-01-25,groceries,expense,227.07,stable_saver
U0001,2025-01-25,subscriptions,expense,85.63,stable_saver
U0001,2025-01-26,travel,expense,75.07,stable_saver
U0001,2025-01-27,groceries,expense,252.39,stable_saver
U0001,2025-01-28,shopping,expense,112.89,stable_saver
U0001,2025-02-01,salary,income,7736.67,stable_saver
U0001,2025-02-02,transport,expense,83.27,stable_saver
U0001,2025-02-02,shopping,expense,9.91,stable_saver
U0001,2025-02-03,subscriptions,expense,22.39,stable_saver
U0001,2025-02-06,shopping,expense,7.35,stable_saver
U0001,2025-02-07,subscriptions,expense,33.59,stable_saver
U0001,2025-02-09,restaurants,expense,142.59,stable_saver
U0001,2025-02-09,restaurants,expense,1.08,stable_saver
U0001,2025-02-09,shopping,expense,24.07,stable_saver
U0001,2025-02-10,groceries,expense,748.34,stable_saver
U0001,2025-02-11,groceries,expense,214.74,stable_saver
U0001,2025-02-12,rent,expense,2543.56,stable_saver
U0001,2025-02-12,transport,expense,69.94,stable_saver
U0001,2025-02-13,restaurants,expense,14.76,stable_saver
U0001,2025-02-13,debt_payment,expense,358.12,stable_saver
U0001,2025-02-14,shopping,expense,97.17,stable_saver
U0001,2025-02-16,travel,expense,113.98,stable_saver
U0001,2025-02-17,shopping,expense,104.94,stable_saver
U0001,2025-02-17,travel,expense,76.82,stable_saver
U0001,2025-02-17,travel,expense,0.22,stable_saver
U0001,2025-02-18,insurance,expense,471.46,stable_saver
U0001,2025-02-20,shopping,expense,25.45,stable_saver
U0001,2025-02-20,subscriptions,expense,66.55,stable_saver
U0001,2025-02-21,restaurants,expense,68.19,stable_saver
U0001,2025-02-23,restaurants,expense,44.96,stable_saver
U0001,2025-02-23,travel,expense,5.26,stable_saver
U0001,2025-02-24,transport,expense,11.06,stable_saver
U0001,2025-02-25,savings_transfer,savings,1804.71,stable_saver
U0001,2025-02-27,transport,expense,161.32,stable_saver
U0001,2025-02-27,restaurants,expense,41.93,stable_saver
U0001,2025-02-28,transport,expense,70.37,stable_saver
U0001,2025-02-28,shopping,expense,159.27,stable_saver
U0001,2025-03-02,salary,income,7594.63,stable_saver
